name,url,score,ratings,brewery,abv,ibu,brewer_notes
Duvel Belgian Golden Ale,/beer/profile/222/695/,4.25,"8,045",Brouwerij Duvel Moortgat NV,8.5,No IBU,No Notes
Jai Alai IPA,/beer/profile/17981/46363/,4.28,"8,041",Cigar City Brewing,7.5,70,    Pours copper in color with notes of citrus and tropical fruit in the aroma. Flavor has upfront citrus bitterness with a hint of caramel and citrus and tropical fruit hop notes in the finish.  
West Coast IPA,/beer/profile/2743/22505/,4.22,"7,959",Green Flash Brewing Co.,8.1,95,    As craft beer pioneers we embarked on an expedition to brew the benchmark West Coast IPA. We ventured into the unknown and struck gold discovering a tantalizing menagerie of hops. Simcoe for tropical and grapefruit zest Columbus for hop pungency Centennial for pine notes Citra for citrus zest and Cascade for floral aroma are layered throughout the brewing process. West Coast IPA® exemplifies the Green Flash spirit of adventure and discovery.  
Chimay Grande Réserve (Blue),/beer/profile/215/2512/,4.3,"7,892",Bières de Chimay,9,No IBU,No Notes
Guinness Draught,/beer/profile/209/754/,3.56,"7,874",Guinness Ltd.,4.2,No IBU,No Notes
Hop Stoopid,/beer/profile/220/35738/,4.19,"7,791",Lagunitas Brewing Company,8,No IBU,No Notes
Racer 5 India Pale Ale,/beer/profile/610/2751/,4.19,"7,758",Bear Republic Brewing Co.,7.5,No IBU,No Notes
Samuel Adams Octoberfest,/beer/profile/35/102/,3.67,"7,691",Boston Beer Company (Samuel Adams),5.3,No IBU,No Notes
Dirty Bastard,/beer/profile/1199/7463/,4.05,"7,689",Founders Brewing Company,8.5,50,    Brewed with 7 varieties of malt (varies over the years). 
Dead Guy Ale,/beer/profile/132/355/,3.94,"7,664",Rogue Ales,6.8,No IBU,No Notes
Pumking,/beer/profile/3818/38394/,4.05,"7,607",Southern Tier Brewing Company,8.6,No IBU,No Notes
Bigfoot Barleywine-Style Ale,/beer/profile/140/2671/,4.14,"7,581",Sierra Nevada Brewing Co.,9.6,No IBU,No Notes
Porter,/beer/profile/1199/7348/,4.25,"7,527",Founders Brewing Company,6.5,45,    No absence of hops gives Founders' robust porter the full flavor you deserve and expect.   
Dale's Pale Ale,/beer/profile/2681/6518/,3.88,"7,449",Oskar Blues Grill & Brew,6.5,No IBU,No Notes
HopDevil India Pale Ale,/beer/profile/345/1005/,4.06,"7,440",Victory Brewing Company - Downingtown,6.7,No IBU,No Notes
All Day IPA,/beer/profile/1199/58914/,3.87,"7,358",Founders Brewing Company,4.7,No IBU,No Notes
The Abyss,/beer/profile/63/34420/,4.47,"7,285",Deschutes Brewery,11.4,No IBU,No Notes
Bourbon County Brand Coffee Stout,/beer/profile/1146/57747/,4.68,"7,246",Goose Island Beer Co.,12.9,No IBU,No Notes
Blue Moon Belgian White,/beer/profile/306/1212/,3.41,"7,147",Coors Brewing Company (Molson-Coors),5.4,No IBU,No Notes
Victory At Sea Imperial Porter with Coffee & Vanilla,/beer/profile/199/48505/,4.39,"7,004",Ballast Point Brewing Company,10,No IBU,No Notes
Speedway Stout,/beer/profile/396/3833/,4.38,"6,958",AleSmith Brewing Company,12,No IBU,No Notes
Milk Stout,/beer/profile/418/3434/,3.99,"6,910",Left Hand Brewing Company,6,No IBU,No Notes
Bell's Oberon Ale,/beer/profile/287/1094/,3.82,"6,906",Bell's Brewery - Eccentric Café & General Store,5.8,No IBU,No Notes
Brooklyn Black Chocolate Stout,/beer/profile/45/680/,4.15,"6,771",Brooklyn Brewery,10,No IBU,No Notes
Union Jack IPA,/beer/profile/2210/38180/,4.23,"6,752",Firestone Walker Brewing Co.,7.5,No IBU,No Notes
Oatmeal Stout,/beer/profile/113/571/,4.21,"6,749",Samuel Smith Old Brewery (Tadcaster),5,No IBU,No Notes
Double Bastard Ale,/beer/profile/43153/1056/,4.26,"6,747",Arrogant Brewing,11,No IBU,No Notes
DirtWolf,/beer/profile/345/99873/,4.28,"6,692",Victory Brewing Company - Downingtown,8.7,No IBU,No Notes
Parabola,/beer/profile/2210/41815/,4.61,"6,672",Firestone Walker Brewing Co.,14,No IBU,No Notes
Punkin Ale,/beer/profile/64/6260/,3.93,"6,645",Dogfish Head Craft Brewery,7,28,    A full-bodied brown ale with smooth hints of pumpkin and brown sugar. We brew our Punkin Ale with pumpkin meat brown sugar and spices. As the season cools this is the perfect beer to warm up with.  Punkin Ale is named after the seriously off-centered southern Delaware extravaganza Punkin Chunkin (check out some of these Discovery Channel videos of Punkin Chunkin you gotta see it to believe it!). In fact Punkin Ale made its debut as it claimed first prize in the 1994 Punkin Chunkin Recipe Contest. Yes that was a full 6 months before we even opened our doors for business!   
Burton Baton,/beer/profile/64/18862/,4.23,"6,638",Dogfish Head Craft Brewery,10,70,"    This oak-aged gentle giant has been gaining popularity over the past few years and is now available year-round.  For Burton Baton we brew two ""threads"" or batches of beer: an English-style old ale and an imperial IPA.  After fementating the beers separately in our stainless tanks they're transferred and blended together in one of our large oak tanks. Burton Baton sits on the wood for about a month.  When enjoying the Burton Baton you'll find an awesome blend of the citrus notes from Northwestern hops melding with woody vanilla notes from the oak. The wood also tends to mellow the 10% ABV of Burton so tread cautiously!  "
Ayinger Celebrator Doppelbock,/beer/profile/39/131/,4.34,"6,599",Privatbrauerei Franz Inselkammer KG / Brauerei Aying,6.7,No IBU,No Notes
Alpha King,/beer/profile/26/39/,4.25,"6,577",3 Floyds Brewing Co.,6.66,68,    A bold yet balanced American Pale Ale with slight caramel sweetness and aggressive citrus hoppiness. This is our flagship beer.  
Yuengling Traditional Lager,/beer/profile/182/1351/,3.41,"6,574",Yuengling Brewery,4.5,No IBU,No Notes
Edmund Fitzgerald Porter,/beer/profile/73/226/,4.24,"6,553",Great Lakes Brewing Co.,6,37,    Robust and complex our Porter is a bittersweet tribute to the legendary freighter's fallen crew--taken too soon when the gales of November came early.  
Three Philosophers Belgian Style Blend (Quadrupel),/beer/profile/42/3457/,4.15,"6,525",Brewery Ommegang,9.7,No IBU,No Notes
Trappist Westvleteren 12 (XII),/beer/profile/313/1545/,4.6,"6,472",Brouwerij Westvleteren (Sint-Sixtusabdij van Westvleteren),10.2,No IBU,No Notes
Supplication,/beer/profile/863/22227/,4.56,"6,442",Russian River Brewing Company,7,No IBU,No Notes
Double Trouble,/beer/profile/1199/34146/,4.2,"6,439",Founders Brewing Company,9.4,86,    
Budweiser,/beer/profile/29/65/,2.36,"6,345",Anheuser-Busch,5,No IBU,No Notes
Sierra Nevada Hoptimum Imperial IPA,/beer/profile/140/55939/,4.18,"6,326",Sierra Nevada Brewing Co.,9.6,100,    A group of hop-heads and publicans challenged our Beer Camp brewers to push the extremes of whole-cone hop brewing. The result is this: a 
Expedition Stout,/beer/profile/287/1444/,4.26,"6,298",Bell's Brewery - Eccentric Café & General Store,10.5,No IBU,No Notes
Black Butte Porter,/beer/profile/63/198/,4.18,"6,258",Deschutes Brewery,5.2,No IBU,No Notes
Bomb!,/beer/profile/30356/94350/,4.5,"6,184",Prairie Artisan Ales,13,No IBU,No Notes
Indian Brown Ale,/beer/profile/64/1161/,4.1,"6,171",Dogfish Head Craft Brewery,7.2,50,    Forget about the car companies this is the original hybrid. A cross between a Scotch Ale an India Pale Ale and an American Brown Indian Brown Ale is well-hopped and malty at the same time (It's magical!).  The beer has characteristics of each style that inspired it: the color of an American Brown the caramel notes of a Scotch Ale and the hopping regiment of an India Pale Ale. We dry-hop the Indian Brown Ale in a similar fashion to our 60 Minute IPA and 90 Minute IPA. This beer is brewed with Aromatic barley and organic brown sugar.  
Grapefruit Sculpin,/beer/profile/199/89174/,4.32,"6,118",Ballast Point Brewing Company,7,No IBU,No Notes
Dreadnaught IPA,/beer/profile/26/1558/,4.4,"6,066",3 Floyds Brewing Co.,9.5,100,    An Imperial India Pale Ale with an intense citrus hop aroma a huge malt body and a crisp finish.  
Hennepin (Farmhouse Saison),/beer/profile/42/141/,4.15,"6,063",Brewery Ommegang,7.7,No IBU,No Notes
Samuel Adams Winter Lager,/beer/profile/35/101/,3.59,"6,051",Boston Beer Company (Samuel Adams),5.6,No IBU,No Notes
Anchor Steam Beer,/beer/profile/28/63/,3.85,"6,049",Anchor Brewing Company,4.9,No IBU,No Notes
Bud Light,/beer/profile/29/1320/,1.86,"6,039",Anheuser-Busch,4.2,No IBU,No Notes
Dragon's Milk,/beer/profile/335/5428/,4.04,"6,034",New Holland Brewing Company,11,No IBU,No Notes
Storm King Stout,/beer/profile/345/1013/,4.05,"5,977",Victory Brewing Company - Downingtown,9.1,No IBU,No Notes
Ranger,/beer/profile/192/55081/,3.77,"5,971",New Belgium Brewing,6.5,70,    
Sublimely Self-Righteous Black IPA,/beer/profile/147/38470/,4.22,"5,935",Stone Brewing,8.7,No IBU,No Notes
Gumballhead,/beer/profile/26/9478/,4.2,"5,928",3 Floyds Brewing Co.,5.6,35,    An American wheat beer with a refreshing crisp citrus finish. This delicious session beer is brewed with boatloads of Amarillo hops.  
Palo Santo Marron,/beer/profile/64/33832/,4.18,"5,920",Dogfish Head Craft Brewery,12,50,"    An unfiltered unfettered unprecedented brown ale aged in handmade wooden brewing vessels. The caramel and vanilla complexity unique to this beer comes from the exotic Paraguayan Palo Santo wood from which these tanks were crafted. Palo Santo means ""holy tree"" and its wood has been used in South American wine-making communities.  "
Delirium Tremens,/beer/profile/180/1385/,4.13,"5,877",Brouwerij Huyghe,8.5,No IBU,No Notes
RuinTen Triple IPA,/beer/profile/147/82250/,4.3,"5,844",Stone Brewing,10.8,No IBU,No Notes
Blind Pig IPA,/beer/profile/863/22790/,4.36,"5,827",Russian River Brewing Company,6.1,No IBU,No Notes
Young's Double Chocolate Stout,/beer/profile/664/73/,4.02,"5,826",Wells & Young's Ltd,5.2,No IBU,No Notes
Brown Shugga',/beer/profile/220/2264/,4.03,"5,808",Lagunitas Brewing Company,10,No IBU,No Notes
Magic Hat #9,/beer/profile/96/299/,3.39,"5,761",Magic Hat Brewing Company,5.1,20,    A beer cloaked in secrecy. An ale whose mysterious and unusual palate will swirl across your tongue and ask more questions than it answers. A sort of dry crisp refreshing not-quite pale ale. #9 is really impossible to describe because there's never been anything else quite like it.  
Golden Monkey,/beer/profile/345/1003/,3.72,"5,758",Victory Brewing Company - Downingtown,9.5,No IBU,No Notes
Pabst Blue Ribbon (PBR),/beer/profile/447/1331/,2.93,"5,716",Pabst Brewing Company,4.74,No IBU,No Notes
Maharaja,/beer/profile/30/22352/,4.23,"5,680",Avery Brewing Company,10.2,102,    Maharaja is derived from the sanskrit words mahat meaning “great” and rajan meaning “king”. Much like its namesake this imperial IPA is regal intense and mighty. With hops and malts as his servants he rules both with a heavy hand. The Maharaja flaunts his authority over a deranged amount of hops: tangy vibrant and pungent along with an insane amount of malted barley – fashioning a dark amber hue and exquisite malt essence. Welcome to his kingdom!  The Maharaja is the second installment in our Dictator Series.  
Furious,/beer/profile/13014/28203/,4.29,"5,608",Surly Brewing Company,6.6,No IBU,No Notes
Samuel Adams Summer Ale,/beer/profile/35/103/,3.33,"5,605",Boston Beer Company (Samuel Adams),5.3,No IBU,No Notes
Maximus,/beer/profile/220/1372/,3.99,"5,585",Lagunitas Brewing Company,8.2,No IBU,No Notes
Yeti Imperial Stout,/beer/profile/158/12013/,4.21,"5,543",Great Divide Brewing Company,9.5,No IBU,No Notes
Stella Artois,/beer/profile/169/449/,3.09,"5,467",Stella Artois,5,No IBU,No Notes
Orval Trappist Ale,/beer/profile/37/129/,4.2,"5,467",Brasserie d'Orval S.A.,6.2,No IBU,No Notes
Goose IPA,/beer/profile/1146/3968/,3.71,"5,436",Goose Island Beer Co.,5.9,55,    Our India Pale Ale recalls a time when ales shipped from England to India were highly hopped to preserve their distinct taste during the long journey. The result is a hop lover’s dream with a fruity aroma set off by a dry malt middle and long hop finish.  
White,/beer/profile/4/59/,4.16,"5,404",Allagash Brewing Company,5.1,No IBU,No Notes
Consecration,/beer/profile/863/45653/,4.49,"5,388",Russian River Brewing Company,10,No IBU,No Notes
CBS (Canadian Breakfast Stout),/beer/profile/1199/47658/,4.66,"5,370",Founders Brewing Company,11.7,No IBU,No Notes
Trappistes Rochefort 8,/beer/profile/207/1696/,4.33,"5,367",Brasserie de Rochefort,9.2,No IBU,No Notes
Hoegaarden Original White Ale,/beer/profile/83/248/,3.78,"5,362",Brouwerij van Hoegaarden,4.9,No IBU,No Notes
Flower Power India Pale Ale,/beer/profile/651/6076/,4.22,"5,347",Ithaca Beer Company,7.2,No IBU,No Notes
Bourbon County Brand Barleywine Ale,/beer/profile/1146/100421/,4.52,"5,346",Goose Island Beer Co.,14.4,No IBU,No Notes
"Smuttynose IPA ""Finest Kind""",/beer/profile/141/16403/,4.1,"5,337",Smuttynose Brewing Company,6.9,75,    You could say then that Smuttynose IPA is a physical salute to the glory of the American hop grower. The citrusy hop flavor coming from a mixture of Simcoe and Santiams is pleasantly balanced by a smooth bitterness from the Amarillo hops. The beer itself is light bodied and crisp with a golden color that will throw a slight haze as we bottle it unfiltered. At 's this is definitely not a training-wheels IPA but is meant for hop lovers looking to satisfy their craving in a way that's not easy to find. We think they’ll be quite pleased.  
Lunch,/beer/profile/20681/68916/,4.39,"5,313",Maine Beer Company,7,No IBU,No Notes
Choklat (Blackwater Series),/beer/profile/3818/40058/,4.26,"5,313",Southern Tier Brewing Company,10,No IBU,No Notes
Prima Pils,/beer/profile/345/1010/,4.02,"5,308",Victory Brewing Company - Downingtown,5.3,44,    Prima! It’s a German exclamation of joy. It’s a recognition of accomplishment. It’s what escaped from our lips the first time we sampled this mighty pilsner recipe. With heaps of whole flower European hops and fine German malts we achieved the bracing herbal bite and smooth malt flavor that we sought. Prima… an exclamation of Victory! Prost!  
Old Chub - Scottish Style Ale,/beer/profile/2681/14712/,4.01,"5,306",Oskar Blues Grill & Brew,8,No IBU,No Notes
Tank 7 Farmhouse Ale,/beer/profile/423/50570/,4.17,"5,285",Boulevard Brewing Co.,8.5,38,    Most breweries have at least one piece of equipment that’s just a bit persnickity. Here at Boulevard we have fermenter number seven the black sheep of our cellar family. Ironically when our brewers were experimenting with variations on a traditional Belgian-style farmhouse ale the perfect combination of elements came together in that very vessel. You could call it fate but they called it Tank 7 and so it is. Beginning with a big surge of fruity aromatics and grapefruit-hoppy notes the flavor of this complex straw-colored ale tapers off to a peppery dry finish.  
Red's Rye IPA,/beer/profile/1199/16074/,4.18,"5,258",Founders Brewing Company,6.6,70,    Brewed with four varieties of Belgian caramel malts and 100% Amarillo hops. 
OAKED Arrogant Bastard Ale,/beer/profile/43153/8951/,4.2,"5,249",Arrogant Brewing,7.2,No IBU,No Notes
Coors Light,/beer/profile/306/837/,2.03,"5,233",Coors Brewing Company (Molson-Coors),4.2,No IBU,No Notes
Sip Of Sunshine IPA,/beer/profile/17980/117177/,4.58,"5,209",Lawson's Finest Liquids,8,No IBU,No Notes
Péché Mortel,/beer/profile/1141/10325/,4.41,"5,207",Brasserie Dieu du Ciel!,9.5,No IBU,No Notes
Newcastle Brown Ale,/beer/profile/81/639/,3.32,"5,200",Heineken Nederland B.V.,4.7,No IBU,No Notes
Narwhal Imperial Stout,/beer/profile/140/86149/,4.16,"5,194",Sierra Nevada Brewing Co.,10.2,No IBU,No Notes
Fresh Squeezed IPA,/beer/profile/63/60330/,4.26,"5,182",Deschutes Brewery,6.4,60,    This mouthwateringly delicious IPA gets its flavor from a heavy helping of Citra and Mosaic hops. Don't worry no fruit was harmed in the making of this beer.  
§ucaba,/beer/profile/2210/41121/,4.52,"5,114",Firestone Walker Brewing Co.,12.5,No IBU,No Notes
Sierra Nevada Ruthless Rye IPA,/beer/profile/140/76816/,3.89,"5,108",Sierra Nevada Brewing Co.,6.6,No IBU,No Notes
Corona Extra,/beer/profile/75/232/,2.34,"5,095",Grupo Modelo S.A. de C.V.,4.6,No IBU,No Notes
Heineken Lager Beer,/beer/profile/81/246/,2.72,"5,063",Heineken Nederland B.V.,5,No IBU,No Notes
Trois Pistoles,/beer/profile/22/30/,4.23,"5,017",Unibroue,9,No IBU,No Notes
ApriHop,/beer/profile/64/3951/,3.84,"4,995",Dogfish Head Craft Brewery,7,50,    Aprihop is an American IPA brewed with Pilsner and Crystal malts. It's massively hopped -- in the continuous fashion of course! -- and the flavor is complemented by the addition of apricots.  After fermentation the beer is dry hopped with irresponsible amounts of Amarillo hops. The beer has a hoppy aroma with the apricots playing a supporting role.  The flavor is rich with late hop flavors and its bitterness is tempered by just the right amount of malt sweetness and fruity undertones from the apricots.  
Chimay Première (Red),/beer/profile/215/672/,4.15,"4,952",Bières de Chimay,7,No IBU,No Notes
World Wide Stout,/beer/profile/64/2392/,4.22,"4,940",Dogfish Head Craft Brewery,18,70,    Brewed with a ridiculous amount of barley World Wide Stout is dark rich roasty and complex. This Ageable Ale clocks in at 15-20% ABV and has a depth more in line with a fine port than with a can of cheap mass-marketed beer.  
Midas Touch,/beer/profile/64/1587/,3.73,"4,897",Dogfish Head Craft Brewery,9,12,    This sweet yet dry beer is made with ingredients found in 2700-year-old drinking vessels from the tomb of King Midas. Somewhere between wine and mead Midas will please the chardonnay and beer drinker alike.  
Resin,/beer/profile/10607/77299/,4.12,"4,847",Sixpoint Brewery,9.1,100,    An ode to the sticky quintessence of hops that never forgoes balance. This piney resinous Double IPA clocks in at over 
Matilda,/beer/profile/1146/4318/,4.03,"4,808",Goose Island Beer Co.,7,No IBU,No Notes
Curmudgeon,/beer/profile/1199/24905/,4.03,"4,799",Founders Brewing Company,9.8,50,    Think classic seafaring ports local pubs and weathered old fishermen. This old ale is brewed with molasses and an insane focus on the malt bill. Then Oak-Aged. The result is a rich malty delight that's deceptively smooth and drinkable.  
Hop Rod Rye,/beer/profile/610/3158/,4.22,"4,726",Bear Republic Brewing Co.,8,No IBU,No Notes
Black Note Stout,/beer/profile/287/37265/,4.54,"4,701",Bell's Brewery - Eccentric Café & General Store,11.2,No IBU,No Notes
Maudite,/beer/profile/22/33/,4.2,"4,652",Unibroue,8,No IBU,No Notes
PseudoSue,/beer/profile/23222/72170/,4.52,"4,644",Toppling Goliath Brewing Company,6.2,50,    This single hop ale showcases the Citra hop. Named for the largest T-rex fossil ever discovered she roars with ferocious aromas of grapefruit citrus mango and evergreen. Delicate in body with a mild bite in the finish.  
Miller Lite,/beer/profile/105/332/,2.19,"4,641",Miller Brewing Co.,4.17,No IBU,No Notes
Abbey Ale,/beer/profile/42/142/,4.16,"4,638",Brewery Ommegang,8.2,No IBU,No Notes
Abrasive Ale,/beer/profile/13014/46849/,4.5,"4,625",Surly Brewing Company,9,No IBU,No Notes
Wookey Jack,/beer/profile/2210/79286/,4.25,"4,623",Firestone Walker Brewing Co.,8.3,No IBU,No Notes
Crème Brûlée Imperial Milk Stout (Blackwater Series),/beer/profile/3818/43687/,3.91,"4,620",Southern Tier Brewing Company,10,No IBU,No Notes
2XIPA,/beer/profile/3818/57908/,4.02,"4,619",Southern Tier Brewing Company,8.2,No IBU,No Notes
Westmalle Trappist Tripel,/beer/profile/208/646/,4.3,"4,614",Brouwerij Westmalle,9.5,No IBU,No Notes
312 Urban Wheat,/beer/profile/1146/17141/,3.39,"4,613",Goose Island Beer Co.,4.2,18,    Crisp bright flavor shines like city lights on Lake Michigan. Hazy and unfiltered our award-winning Urban Wheat Ale's flavor flows from start to finish.  
Oak Aged Yeti Imperial Stout,/beer/profile/158/19216/,4.26,"4,612",Great Divide Brewing Company,9.5,No IBU,No Notes
Franziskaner Hefe-Weisse,/beer/profile/142/1946/,4.06,"4,584",Spaten-Franziskaner-Bräu,5,No IBU,No Notes
Harvest Ale,/beer/profile/1199/20478/,4.25,"4,568",Founders Brewing Company,7.6,70,    
Schneider Weisse Tap 6 Unser Aventinus,/beer/profile/72/224/,4.33,"4,568",Weisses Bräuhaus G. Schneider & Sohn GmbH,8.2,No IBU,No Notes
Sofie,/beer/profile/1146/48824/,4.09,"4,565",Goose Island Beer Co.,6.5,No IBU,No Notes
Cappuccino Stout,/beer/profile/220/20445/,3.94,"4,509",Lagunitas Brewing Company,9.2,No IBU,No Notes
Chimay Tripel (White),/beer/profile/215/1346/,4.13,"4,464",Bières de Chimay,8,No IBU,No Notes
Undercover Investigation Shut-down Ale,/beer/profile/220/48385/,4.07,"4,427",Lagunitas Brewing Company,9.6,6,    ABV varies slightly from 9.0 to 9.8 66.
Duet,/beer/profile/3120/27604/,4.34,"4,426",Alpine Beer Company,7,No IBU,No Notes
Bell's Kalamazoo Stout,/beer/profile/287/1117/,3.98,"4,418",Bell's Brewery - Eccentric Café & General Store,6,No IBU,No Notes
Imperial Biscotti Break,/beer/profile/24300/80291/,4.35,"4,380",Evil Twin Brewing,11.5,No IBU,No Notes
Festina Pêche,/beer/profile/64/35720/,3.66,"4,371",Dogfish Head Craft Brewery,4.5,8,    In Festina Peche since the natural peach sugars are eaten by the yeast the fruit complexity is woven into both the aroma and the taste of the beer so there is no need to doctor it with woodruff or raspberry syrup. Just open and enjoy!  
Duchesse De Bourgogne,/beer/profile/641/1745/,4.15,"4,359",Brouwerij Verhaeghe,6,No IBU,No Notes
Dark Lord Imperial Stout,/beer/profile/26/7520/,4.27,"4,341",3 Floyds Brewing Co.,15,No IBU,No Notes
Big Eye,/beer/profile/199/709/,4.05,"4,336",Ballast Point Brewing Company,7,No IBU,No Notes
Guinness Extra Stout (Original),/beer/profile/209/650/,3.73,"4,332",Guinness Ltd.,5.6,No IBU,No Notes
Fat Head's Head Hunter IPA,/beer/profile/19544/50564/,4.33,"4,313",Fat Head's Brewery & Saloon,7.5,No IBU,No Notes
Hop Nosh IPA,/beer/profile/1416/73764/,4.02,"4,308",Uinta Brewing Company,7.3,82,    Bold and refreshing this IPA combines an abundance of hops with a smooth malt profile.  
Raison D'Être,/beer/profile/64/1180/,3.66,"4,306",Dogfish Head Craft Brewery,8,25,"    A deep mahogany Belgian-style brown ale brewed with beet sugar raisins and Belgian-style yeast.  We began brewing this one at our pub in 1996 (we began packaging and selling it sometime in 1998) as the answer to the question ""What beer should I enjoy with a wood-grilled steak?"" Raison D'Etre fits the bill. It's as tasty and complex as a fine red wine.  In the Quick Sip Clip video Sam talks about Raison D'Etre inside the new cellars for our 600-bbl fermentation tanks. The cellars were designed specifically to allow sterile yeast management. The system also allows us to automatically dose the yeast into the fermentation tanks. At Dogfish we use multiple strains of yeast for our different beers so we are acutely aware of all that can go wrong when you don't love and protect the yeast.  "
Samuel Adams Rebel IPA,/beer/profile/35/95386/,3.59,"4,298",Boston Beer Company (Samuel Adams),6.5,No IBU,No Notes
Vanilla Porter,/beer/profile/2137/27800/,3.66,"4,269",Breckenridge Brewery,5.4,No IBU,No Notes
